servicetime,latency,status
0.024157792,0.069996,200
0.01566717,0.059471,200
0.016625691,0.063147,200
0.018975873,0.062533,200
0.015039267,0.061503,200
0.017467268,0.063448,200
0.023756074,0.067554,200
0.026346453,0.069846,200
0.016429437,0.063063,200
0.021468883,0.066986,200
0.01879711,0.064844,200
0.016256541,0.062632,200
0.017271494,0.061831,200
0.020076163,0.066201,200
0.01934236,0.064108,200
0.019056816,0.062921,200
0.015476163,0.062839,200
0.023560964,0.070801,200
0.016217468,0.062683,200
0.018579353,0.062916,200
0.015399359,0.058652,200
0.024371836,0.070601,200
0.018663904,0.062563,200
0.016997095,0.062507,200
0.015394756,0.059077,200
0.014965712,0.061004,200
0.015226578,0.059041,200
0.015217776,0.062049,200
0.016112031,0.058926,200
0.015422913,0.058852,200
0.017077573,0.062881,200
0.016216032,0.063152,200
0.015931621,0.061977,200
0.017037343,0.063172,200
0.016631758,0.065197,200
0.014894967,0.058390,200
0.015347884,0.058467,200
0.015658509,0.062178,200
0.017187344,0.062114,200
0.017658688,0.063163,200
0.017105944,0.061679,200
0.017160652,0.061594,200
0.017962886,0.061572,200
0.016042117,0.062423,200
0.017089743,0.060800,200
0.027049111,0.074325,200
0.017391786,0.062681,200
0.020148495,0.067269,200
0.017003093,0.062966,200
0.016057182,0.061920,200
0.015235616,0.061073,200
0.017753532,0.065918,200
0.017912494,0.062833,200
0.019457908,0.065190,200
0.016272716,0.061271,200
0.016443588,0.061933,200
0.018516637,0.063855,200
0.015175115,0.059575,200
0.01737054,0.061676,200
0.016718829,0.061625,200
0.017691733,0.062861,200
0.0188342,0.065234,200
0.016307129,0.061695,200
0.016030762,0.062585,200
0.016792867,0.061944,200
0.016247148,0.063204,200
0.015275392,0.062974,200
0.019331796,0.065959,200
0.026411671,0.073478,200
0.017231096,0.062771,200
0.019553136,0.062907,200
0.026400547,0.070726,200
0.022665262,0.070726,200
0.018889068,0.065949,200
0.020958724,0.066623,200
0.016137715,0.059502,200
0.015709948,0.060340,200
0.01749394,0.064197,200
0.020332424,0.064262,200
0.018215688,0.064329,200
0.017867291,0.064354,200
0.019003589,0.066836,200
0.026413951,0.069598,200
0.017685013,0.063198,200
0.017521497,0.065731,200
0.015711373,0.062976,200
0.020337105,0.066443,200
0.026824895,0.071261,200
0.022601156,0.065829,200
0.019050132,0.062925,200
0.017818913,0.062866,200
0.020657202,0.065626,200
0.015745033,0.058442,200
0.021810452,0.066885,200
0.01961883,0.066182,200
0.017742725,0.061799,200
0.021308148,0.064210,200
0.024564356,0.070653,200
0.017037723,0.061478,200
0.016904203,0.062159,200
