servicetime,latency,status
0.022035608,0.027142,200
0.020782435,0.025970,200
0.02066716,0.026001,200
0.023837658,0.029141,200
0.014156398,0.019243,200
0.016178383,0.021352,200
0.01941966,0.025590,200
0.016701339,0.022017,200
0.015608002,0.021888,200
0.015844656,0.020945,200
0.017373884,0.023719,200
0.016895156,0.025865,200
0.014744025,0.019853,200
0.015223573,0.020624,200
0.015047383,0.020131,200
0.014108748,0.019278,200
0.014340804,0.019302,200
0.015076288,0.020296,200
0.01930058,0.025427,200
0.017961904,0.029120,200
0.024475684,0.038980,200
0.024696449,0.029969,200
0.023766244,0.029022,200
0.021491928,0.037032,200
0.018419648,0.023597,200
0.016348414,0.021518,200
0.021663535,0.026948,200
0.017943934,0.025736,200
0.019436685,0.025366,200
0.018630669,0.023738,200
0.019045912,0.024163,200
0.01923299,0.024415,200
0.019397156,0.025696,200
0.018121712,0.023472,200
0.019674778,0.024999,200
0.015022518,0.020125,200
0.015833102,0.020927,200
0.015109357,0.021477,200
0.01631085,0.021478,200
0.02536224,0.032244,200
0.012902147,0.018003,200
0.012498041,0.017997,200
0.013196893,0.018640,200
0.011796276,0.016788,200
0.018821623,0.023934,200
0.01993337,0.025115,200
0.021269552,0.026658,200
0.015988646,0.021077,200
0.022099072,0.027458,200
0.02515888,0.033194,200
0.016469054,0.021572,200
0.014321865,0.019432,200
0.016410947,0.022465,200
0.019037465,0.024315,200
0.013621876,0.019632,200
0.018797277,0.024146,200
0.015759947,0.021703,200
0.014371621,0.019423,200
0.014190342,0.019154,200
0.013645045,0.018984,200
0.021480612,0.026693,200
0.013893625,0.019346,200
0.01456684,0.020173,200
0.014615471,0.020642,200
0.015916467,0.020923,200
0.014431773,0.019592,200
0.015324425,0.020347,200
0.025403637,0.030781,200
0.019295879,0.024481,200
0.014763996,0.020123,200
0.01897946,0.024084,200
0.018727224,0.023846,200
0.01656494,0.021706,200
0.016759496,0.021990,200
0.016869074,0.021825,200
0.012817434,0.017792,200
0.013823515,0.018766,200
0.016227381,0.021216,200
0.015691223,0.020732,200
0.013370792,0.019171,200
0.013334318,0.018440,200
0.016879752,0.022545,200
0.018064413,0.038931,200
0.016579987,0.022829,200
0.018500311,0.023721,200
0.01937257,0.024639,200
0.014580102,0.019712,200
0.015470997,0.020479,200
0.020422148,0.025614,200
0.0132527,0.018353,200
0.015460572,0.026926,200
0.014761075,0.019910,200
0.014263119,0.019519,200
0.014142874,0.019917,200
0.015378708,0.020696,200
0.014529448,0.020005,200
0.015289797,0.020415,200
0.017236885,0.023048,200
0.014305466,0.019387,200
0.013992215,0.019032,200
0.014284451,0.019441,200
0.014577191,0.019595,200
0.014522195,0.019602,200
0.013807336,0.018978,200
0.014252386,0.020253,200
0.019753,0.025098,200
0.014441441,0.019721,200
0.01370017,0.019058,200
0.014644202,0.019669,200
0.014592945,0.019783,200
0.017666291,0.023636,200
0.018512964,0.023808,200
0.014200491,0.020301,200
0.014979597,0.020013,200
0.019343045,0.024570,200
0.015578594,0.020875,200
0.014161205,0.019206,200
0.014297814,0.019873,200
0.013900056,0.019619,200
0.014833271,0.023193,200
0.017964045,0.023501,200
0.016051956,0.021434,200
0.01927338,0.030844,200
0.023727575,0.040105,200
0.029054351,0.053419,200
0.015064323,0.020497,200
