servicetime,status,latency
0.025339724,0.074069,200
0.023846123,0.077725,200
0.020637281,0.068916,200
0.016858513,0.063248,200
0.015032924,0.063947,200
0.020827893,0.068324,200
0.021069078,0.070633,200
0.020968325,0.071705,200
0.021069184,0.069872,200
0.021966204,0.072118,200
0.024178756,0.074068,200
0.015963681,0.080481,200
0.019824078,0.070882,200
0.021737924,0.072295,200
0.02090503,0.068762,200
0.0233016,0.071500,200
0.021357484,0.068627,200
0.017479217,0.064896,200
0.017073303,0.068461,200
0.020774608,0.068040,200
0.019407187,0.068309,200
0.019832632,0.067685,200
0.018887812,0.069640,200
0.022744369,0.072254,200
0.02129967,0.074089,200
0.021787556,0.071298,200
0.022905864,0.073317,200
0.020519683,0.067111,200
0.020673009,0.070469,200
0.020089297,0.070650,200
0.02166869,0.071095,200
0.027952418,0.081215,200
0.014954895,0.064427,200
0.020420564,0.070772,200
0.021991424,0.072267,200
0.02087276,0.069437,200
0.023448609,0.078103,200
0.020725444,0.071440,200
0.01817513,0.068752,200
0.015856626,0.066649,200
0.021182656,0.070037,200
0.022395317,0.071488,200
0.017307088,0.067311,200
0.019955574,0.074740,200
0.01967744,0.067864,200
0.020847524,0.069738,200
0.020595891,0.068664,200
0.016871763,0.064159,200
0.02184575,0.070320,200
0.019294748,0.069200,200
0.019026162,0.065994,200
0.017638128,0.069346,200
0.020719292,0.070442,200
0.018890336,0.071094,200
0.020688806,0.079872,200
0.022375207,0.070807,200
0.022566335,0.071519,200
0.019852974,0.073046,200
0.022276118,0.073146,200
0.020950718,0.071952,200
0.02172712,0.076027,200
0.018058723,0.066399,200
0.01986948,0.067696,200
0.01935107,0.067718,200
0.017175956,0.065242,200
0.021445349,0.068605,200
0.02912434,0.077153,200
0.021265466,0.070577,200
0.019953366,0.068447,200
0.02240168,0.069844,200
0.02595172,0.073347,200
0.019311445,0.068046,200
0.018543229,0.082762,200
0.018647289,0.069338,200
0.021182664,0.071831,200
0.019571254,0.066366,200
0.020446235,0.070295,200
0.022033593,0.069655,200
0.019712118,0.070579,200
0.019313104,0.070910,200
0.020244308,0.072132,200
0.021900624,0.073412,200
0.022217011,0.078474,200
0.020808827,0.069464,200
0.021861287,0.070893,200
0.020922955,0.070447,200
0.017793495,0.065366,200
0.021132506,0.071107,200
0.021336492,0.068283,200
0.018807448,0.066406,200
0.017230129,0.066956,200
0.017267985,0.066512,200
0.016730467,0.066229,200
0.0171838,0.065159,200
0.018433375,0.065205,200
0.02025388,0.074064,200
0.016170103,0.064976,200
0.017527059,0.065813,200
0.017730076,0.067106,200
0.017115848,0.064015,200
0.016631462,0.068687,200
0.016428716,0.066349,200
0.017238364,0.064996,200
0.020742727,0.070446,200
0.016054396,0.066060,200
0.01846676,0.066983,200
0.020165509,0.080525,200
0.018633133,0.069239,200
0.022914434,0.071831,200
0.017624283,0.077008,200
0.020021396,0.069180,200
0.018103061,0.066725,200
0.023080045,0.074334,200
0.020941341,0.072671,200
0.019675244,0.082181,200
0.020718567,0.071612,200
0.020893976,0.073275,200
0.023231233,0.076700,200
0.018402452,0.071383,200
0.01828892,0.082227,200
0.022922104,0.075402,200
0.025203899,0.083962,200
0.016764224,0.080011,200
0.019865848,0.066800,200
0.0232517,0.085011,200
0.017546264,0.066574,200
0.017430052,0.078830,200
0.018851873,0.066698,200
0.022192048,0.071085,200
0.021659711,0.070246,200
0.020908017,0.072910,200
0.020826504,0.071535,200
0.023520155,0.074067,200
0.023765145,0.084477,200
0.0241482,0.075200,200
0.023598619,0.073295,200
0.02243444,0.069520,200
0.023737079,0.070843,200
0.02208332,0.070473,200
0.016282225,0.064893,200
0.015145443,0.065387,200
0.014800968,0.062251,200
0.015438583,0.073382,200
0.021351324,0.071187,200
0.014628794,0.061518,200
0.022222767,0.080436,200
0.021247592,0.069604,200
0.022439567,0.073649,200
0.020752428,0.070861,200
0.026199443,0.075693,200
0.027198914,0.073955,200
0.026361857,0.081248,200
0.019621124,0.070796,200
0.017917056,0.068489,200
0.015343692,0.065012,200
0.019395117,0.068106,200
0.019895893,0.069141,200
0.02150588,0.069601,200
0.021524519,0.070893,200
0.017157504,0.066135,200
0.017248929,0.068895,200
0.021739263,0.072667,200
0.018205224,0.067784,200
0.021321695,0.070027,200
0.01653883,0.064468,200
0.023344696,0.071228,200
0.017953148,0.068537,200
0.020603688,0.069396,200
0.015776128,0.065582,200
0.016538713,0.063989,200
0.017976765,0.068587,200
0.016997904,0.067562,200
0.017224569,0.067307,200
0.016917316,0.066985,200
0.014594252,0.062615,200
0.014584077,0.065276,200
0.014341452,0.062346,200
0.02199299,0.073794,200
0.016835427,0.066275,200
0.021156546,0.068116,200
0.020646121,0.068064,200
0.023066266,0.072160,200
0.020443914,0.072713,200
0.018307151,0.068077,200
0.018519476,0.065388,200
